key	status	detail	canonical_title
wang2024executable	OK	arxiv-title sim=1.00 id=2402.01030	Executable Code Actions Elicit Better LLM Agents
strehl2009reinforcement	WHITELISTED	JMLR 10(84):2413-2444, 2009; verified directly on jmlr.org 2026-07-11	
wallace2024instruction	OK	arXiv:2404.13208 sim=1.00	The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions
zhan2024injecagent	OK	arxiv-title sim=1.00 id=2403.02691	InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents
debenedetti2024agentdojo	OK	arxiv-title sim=1.00 id=2406.13352	AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents
greshake2023not	OK	crossref sim=1.00 year=2023 doi=10.1145/3605764.3623985	Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection
lu2024ai	OK	arXiv:2408.06292 sim=1.00	The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery
m2024augmenting	OK	arxiv-title sim=0.92 id=2304.05376	ChemCrow: Augmenting large-language models with chemistry tools
olausson2024self	OK	arxiv-title sim=1.00 id=2306.09896	Is Self-Repair a Silver Bullet for Code Generation?
jimenez2024swebenchlanguagemodelsresolve	OK	arXiv:2310.06770 sim=1.00	SWE-bench: Can Language Models Resolve Real-World GitHub Issues?
sharma2024towards	OK	arxiv-title sim=1.00 id=2310.13548	Towards Understanding Sycophancy in Language Models
lloret2024towards	OK	arxiv-title sim=1.00 id=2407.16970	Towards Aligning Language Models with Textual Feedback
luo2024improve	OK	arXiv:2406.06592 sim=1.00	Improve Mathematical Reasoning in Language Models by Automated Process Supervision
uesato2022solving	OK	arXiv:2211.14275 sim=1.00	Solving math word problems with process- and outcome-based feedback
shumailov2023curse	OK	arXiv:2305.17493 sim=1.00	The Curse of Recursion: Training on Generated Data Makes Models Forget
huang2023large	OK	arxiv-title sim=1.00 id=2310.01798	Large Language Models Cannot Self-Correct Reasoning Yet
achiam2023gpt	OK	arXiv:2303.08774 sim=1.00	GPT-4 Technical Report
wang-etal-2025-dont	OK	crossref sim=1.00 year=2025 doi=10.18653/v1/2025.acl-long.1167	Don’t Get Lost in the Trees: Streamlining LLM Reasoning by Overcoming Tree Search Exploration Pitfalls
xie2023self	OK	arxiv-title sim=1.00 id=2305.00633	Self-Evaluation Guided Beam Search for Reasoning
zhang2025survey	OK	arxiv-title sim=1.00 id=2404.13501	A Survey on the Memory Mechanism of Large Language Model based Agents
li2024improving	OK	arxiv-title sim=1.00 id=2406.11776	Improving Multi-Agent Debate with Sparse Communication Topology
choi2026debate	WHITELISTED	NeurIPS 2025 (DBLP-verified) + arXiv:2508.17536; journal title differs from arXiv page title check	
estornell2024multi	OK	crossref sim=1.00 year=2024 doi=10.52202/079017-0911	Multi-LLM Debate: Framework, Principals, and Interventions
chan2023chatevalbetterllmbasedevaluators	OK	arXiv:2308.07201 sim=1.00	ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate
liang2024encouragingdivergentthinkinglarge	OK	arXiv:2305.19118 sim=1.00	Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate
yang2024swe	OK	arxiv-title sim=1.00 id=2405.15793	SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering
gou2024toratoolintegratedreasoningagent	OK	arXiv:2309.17452 sim=1.00	ToRA: A Tool-Integrated Reasoning Agent for Mathematical Problem Solving
brown2020language	OK	arxiv-title sim=1.00 id=2005.14165	Language Models are Few-Shot Learners
mnih2015human	WHITELISTED	Nature 518:529-533 (2015), DOI 10.1038/nature14236; verified via OpenAlex 2026-07-11 (not on arXiv)	
vamplew2021scalarrewardenoughresponse	OK	arXiv:2112.15422 sim=1.00	Scalar reward is not enough: A response to Silver, Singh, Precup and Sutton (2021)
